time = 12.001	Re = 0.5	40	80
0.459799	0.750323	-0.120368	34
0.470249	0.767376	-0.135726	35
0.480699	0.784429	-0.151963	36
0.491149	0.801481	-0.169059	37
0.501599	0.818534	-0.186998	38
0.512049	0.835587	-0.205766	39
0.522499	0.852640	-0.225359	40
12
0.090798	0.178201	0.000000	0
0.099878	0.196021	0.000020	1
0.108958	0.213841	0.000091	2
0.118038	0.231662	0.000205	3
0.127118	0.249482	0.000352	4
0.136197	0.267302	0.000523	5
0.145277	0.285122	0.000710	6
0.154357	0.302942	0.000907	7
0.163437	0.320762	0.001104	8
0.172517	0.338582	0.001292	9
0.181597	0.356402	0.001461	10
0.190676	0.374223	0.001596	11
0.199756	0.392043	0.001682	12
0.208836	0.409863	0.001699	13
0.217916	0.427683	0.001620	14
0.226996	0.445503	0.001414	15
0.236075	0.463323	0.001041	16
0.245155	0.481143	0.000453	17
0.254235	0.498963	-0.000412	18
0.263315	0.516784	-0.001627	19
0.272395	0.534604	-0.003278	20
0.281475	0.552424	-0.005465	21
0.290554	0.570244	-0.008300	22
0.299634	0.588064	-0.011899	23
0.308714	0.605884	-0.016373	24
0.317794	0.623704	-0.021822	25
0.326874	0.641524	-0.028316	26
0.335954	0.659345	-0.035899	27
0.345033	0.677165	-0.044587	28
0.354113	0.694985	-0.054377	29
0.363193	0.712805	-0.065248	30
0.372273	0.730625	-0.077172	31
0.381353	0.748445	-0.090110	32
0.390433	0.766265	-0.104024	33
0.399512	0.784085	-0.118870	34
0.408592	0.801905	-0.134608	35
0.417672	0.819726	-0.151196	36
0.426752	0.837546	-0.168598	37
0.435832	0.855366	-0.186778	38
0.444912	0.873186	-0.205706	39
0.453991	0.891006	-0.225359	40
13
0.076537	0.184776	0.000000	0
0.084191	0.203253	0.000006	1
0.091844	0.221731	0.000046	2
0.099498	0.240209	0.000114	3
0.107152	0.258686	0.000204	4
0.114805	0.277164	0.000311	5
0.122459	0.295641	0.000432	6
0.130113	0.314119	0.000561	7
0.137766	0.332596	0.000694	8
0.145420	0.351074	0.000828	9
0.153074	0.369552	0.000954	10
0.160727	0.388029	0.001067	11
0.168381	0.406507	0.001157	12
0.176035	0.424984	0.001210	13
0.183688	0.443462	0.001210	14
0.191342	0.461940	0.001135	15
0.198996	0.480417	0.000954	16
0.206650	0.498895	0.000628	17
0.214303	0.517372	0.000102	18
0.221957	0.535850	-0.000694	19
0.229611	0.554327	-0.001851	20
0.237264	0.572805	-0.003486	21
0.244918	0.591283	-0.005738	22
0.252572	0.609760	-0.008770	23
0.260225	0.628238	-0.012752	24
0.267879	0.646715	-0.017836	25
0.275533	0.665193	-0.024124	26
0.283186	0.683671	-0.031661	27
0.290840	0.702148	-0.040449	28
0.298494	0.720626	-0.050462	29
0.306147	0.739103	-0.061655	30
0.313801	0.757581	-0.073973	31
0.321455	0.776058	-0.087353	32
0.329109	0.794536	-0.101735	33
0.336762	0.813014	-0.117055	34
0.344416	0.831491	-0.133251	35
0.352070	0.849969	-0.150264	36
0.359723	0.868446	-0.168034	37
0.367377	0.886924	-0.186507	38
0.375031	0.905402	-0.205632	39
0.382684	0.923879	-0.225359	40
14
0.061804	0.190211	0.000000	0
0.067984	0.209232	-0.000004	1
0.074164	0.228253	0.000010	2
0.080345	0.247275	0.000038	3
0.086525	0.266296	0.000078	4
0.092705	0.285317	0.000127	5
0.098886	0.304338	0.000183	6
0.105066	0.323359	0.000246	7
0.111246	0.342380	0.000313	8
0.117427	0.361401	0.000384	9
0.123607	0.380422	0.000456	10
0.129788	0.399444	0.000526	11
0.135968	0.418465	0.000592	12
0.142148	0.437486	0.000647	13
0.148329	0.456507	0.000686	14
0.154509	0.475528	0.000696	15
0.160689	0.494549	0.000661	16
0.166870	0.513570	0.000557	17
0.173050	0.532591	0.000348	18
0.179230	0.551613	-0.000023	19
0.185411	0.570634	-0.000634	20
0.191591	0.589655	-0.001602	21
0.197772	0.608676	-0.003092	22
0.203952	0.627697	-0.005326	23
0.210132	0.646718	-0.008582	24
0.216313	0.665739	-0.013150	25
0.222493	0.684760	-0.019173	26
0.228673	0.703782	-0.026676	27
0.234854	0.722803	-0.035620	28
0.241034	0.741824	-0.045935	29
0.247214	0.760845	-0.057535	30
0.253395	0.779866	-0.070331	31
0.259575	0.798887	-0.084234	32
0.265755	0.817908	-0.099157	33
0.271936	0.836929	-0.115015	34
0.278116	0.855951	-0.131728	35
0.284297	0.874972	-0.149215	36
0.290477	0.893993	-0.167398	37
0.296657	0.913014	-0.186201	38
0.302838	0.932035	-0.205546	39
0.309018	0.951056	-0.225359	40
15
0.046689	0.194474	0.000000	0
0.051358	0.213921	-0.000008	1
0.056027	0.233369	-0.000012	2
0.060696	0.252816	-0.000012	3
0.065365	0.272264	-0.000009	4
0.070034	0.291711	-0.000005	5
0.074703	0.311158	0.000001	6
0.079372	0.330606	0.000009	7
0.084041	0.350053	0.000020	8
0.088710	0.369500	0.000033	9
0.093379	0.388948	0.000048	10
0.098048	0.408395	0.000067	11
0.102716	0.427843	0.000089	12
0.107385	0.447290	0.000114	13
0.112054	0.466737	0.000142	14
0.116723	0.486185	0.000173	15
0.121392	0.505632	0.000203	16
0.126061	0.525080	0.000227	17
0.130730	0.544527	0.000231	18
